intron	cluster	itype	ctype	gene_name	gene_id	Artery - Aorta	Brain - Cortex	Brain - Nucleus accumbens (basal ganglia)	Esophagus - Muscularis	Adipose - Visceral (omentum)	Adrenal gland	Artery - Coronary	Bladder	Brain - Amygdala	Brain - Anterior cingulate cortex (BA24)	Brain - Caudate (basal ganglia)	Brain - Cerebellar hemisphere	Brain - Cerebellum	Brain - Hypothalamus	Brain - Putamen (basal ganglia)	Brain - Spinalcord (cervical c-1)	Brain - Substantia nigra	Cells - Cultured fibroblasts	Esophagus - Gastroesophageal junction	Esophagus - Mucosa	Heart - Atrial appendage	Heart - Left ventricle	Kidney - Cortex	Lung	Minor salivary gland	Ovary	Pancreas	Pituitary	Prostate	Small intestine - Terminal ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Adipose - Subcutaneous	Artery - Tibial	Brain - Frontal cortex (BA9)	Brain - Hippocampus	Breast - Mammary tissue	Cells - EBV-transformed lymphocytes	Colon - Sigmoid	Colon - Transverse	Liver	Muscle - Skeletal	Nerve - Tibial	Skin - Not sun exposed (suprapubic)	Skin - Sun exposed (lower leg)	Whole blood	Cluster
chr10:100190968:100192458:clu_24474_-	chr10:clu_24474_-	UP	PR,UP	CHUK	ENSG00000213341.10	-0.49948049205985018	0.47134681806563344	-0.039958122542217679	-0.47178339531541685	-0.5074422448918614	-0.77044488097938479	-0.34690197617019947	-0.31894916756563946	-0.066743872725772577	-0.04012324503911132	-0.093974443458284651	3.5082265259416379	3.5184037953562104	0.15411961246751799	-0.18229334575785655	0.079170455247551258	-0.15160428839773057	-0.87776880016042758	-0.43757164836623491	-0.54762540650152192	0.53839273191516779	-0.090530786766160498	-0.54836329457477584	-0.47268292229103204	-0.53598535176104689	0.96275757310237631	-0.66809225781204484	-0.20759245047585204	-0.15337823045798601	-0.67999956075876244	-0.67878496195304328	-0.55935933920577796	3.7733149701020809	-0.14556487072418772	0.25347974316953042	0.27378538129725027	-0.3249151803246012	-0.44373445651044829	0.21970202100036162	0.11457654329112821	-0.21949947333242628	-0.85572867985242729	-0.27324544712779791	-0.61981753679760043	-0.82187008024763719	0.28080787546413594	0.27603372080442223	-0.032610146428509422	0.010440118224372689	-0.75013752811574697	5
chr10:100190968:100193388:clu_24474_-	chr10:clu_24474_-	UP	PR,UP	CHUK	ENSG00000213341.10	1.7198400357278214	0.36148901209328743	-0.61253536071115944	0.87918816144598622	0.12987012706892304	-1.0992899791007418	1.2315879044182763	0.6141414858318246	-1.5925724278968907	0.64131400401659322	-0.7679860545760997	-2.1827465572710762	1.4362853533941324	-1.2205558607005798	-0.52763102809339046	0.054958301510976096	0.41050672821422807	-0.20233570044621427	-0.20350719430964018	-0.98480497589681049	-0.092208517979288224	-1.5009525680037936	0.77462041103273693	0.35054094942089237	-0.56876493415815688	1.8650821498450434	-0.098035329912407959	-0.8007593769860093	1.0031320650109634	0.1770900259475425	0.23152971919914717	0.77686264509812131	-1.979837798025404	-0.50668710491797186	1.5705440811189271	-0.25387875756404277	-0.50809369383802905	-0.61770530300704185	-0.82640024339050933	0.33091193846647821	0.84139236929603811	-0.54756108816988736	0.36267651652544974	0.85125526488016723	-0.81764398480178857	-1.4177092205539066	0.58737991397646472	1.3593285534794244	-0.60873424811070942	1.977409591402111	1
chr10:100496431:100497666:clu_24486_-	chr10:clu_24486_-	UP	PR,UP	SEC31B	ENSG00000075826.16	1.5534433435096402	-0.83241710275409597	-1.1784548923413594	-1.1544538449459474	0.10464418417761613	-0.3648810385393037	1.2109135872909842	-0.83295980099572142	-0.10434798491283052	-0.70949360999650968	-0.7427285180629426	-2.1065479847981061	-1.9690062055645445	-0.74556791324323746	-0.13032710146606513	0.96474276360011479	0.93243573167406413	1.6621238567511727	-1.0163282367729798	0.45026291272471775	0.019553205402582555	0.30342284174177492	-0.020231174185582328	1.916142105884413	-0.55314975880668982	-0.38437272732979616	0.82585884201530124	-0.90586741656601766	-0.44739415691073398	-0.31128016355074795	-0.15149844190512238	-0.21795684060048687	0.93216754426145021	0.5309237123070446	-0.64840036893078246	-0.29316962750421455	-0.41836589610387293	0.7306301500272272	-1.0825245836807533	0.47173483721375087	-0.058156467355428877	0.85258001140290596	-1.1831981199234256	-0.68662359958687402	0.0263943337453066	3.2195960841044391	0.89240964024164449	0.8500138964341285	-0.080116808559132835	0.87982680138303471	3
chr10:100498207:100499159:clu_24487_-	chr10:clu_24487_-	UP	PR,UP	SEC31B	ENSG00000075826.16	1.3133904226193767	0.27759648224720967	0.11548458110432101	0.13686267144403597	0.38468878353691532	-0.26682806507124313	0.38209542940003521	-0.73425013895838065	-0.05869765560121061	-0.70365529305449126	-0.02057236809021893	2.2536793179299761	2.0272294175106929	0.057166205232266828	0.25245502800965397	-1.3759713922347856	-1.0300028191065769	0.4032136077400032	0.34551351237267824	0.51148834113334951	-0.81178069765195215	-1.2853648387795367	-0.13384827840753233	0.55300923172867955	-0.33314306708610175	-0.89117444559537096	-0.33810244277453827	0.19149092070479004	-0.079548106861935183	-0.51592754575297162	-1.2582226730329964	-1.0204550844253852	0.60986480696391987	1.1074328805043636	0.9645667088093397	0.22022876527992921	1.2684563023573483	1.3437016496459384	0.21794998973700222	0.16506243411006516	0.92396398435181626	-1.3456586347624393	-0.6035993255595854	-1.2142844576809277	-0.66198334938548942	-2.9818359447285574	1.5846107890016983	0.21658907884125875	1.3239931755639924	-1.486877893278433	5
chr10:100499598:100500109:clu_24489_-	chr10:clu_24489_-	UP	PR,UP	SEC31B	ENSG00000075826.16	0.29303793748131318	-1.8941463157742906	-1.3899101959297036	1.1924360303604606	0.69905850170796724	-0.32264003175290923	0.9256658203348811	1.1854738476001474	-1.296019655240241	-2.0633117868053548	-1.3555782771798637	-0.53001433333262482	-0.54740228211959396	-2.0108462196446908	-1.1484958567350629	-0.19135011791928455	-1.203278489708911	-0.9383139490365815	1.1004012265968477	0.32590064897808957	-0.061570034462613145	0.29527017660290222	0.2696870505431137	0.11242393133363837	0.1317199056726493	0.6983855598048937	1.1809552110286172	-0.54021318503905336	0.66446472878628959	0.85990236214865245	0.73523183299594774	0.91264556324240254	2.0741927121063704	-0.18289886919839926	0.45576964286052823	0.29010483270096771	0.3863111773496023	0.86227464583232083	-1.9955441150964111	-1.1055171066256775	0.42526920867725937	-0.65138114982809237	1.3430530812404533	0.92194791809234666	1.094113336358691	-0.97035571172037882	0.49319328273778129	-0.039387899107562116	-0.13186903996707708	0.64115444904923724	2
chr10:100500159:100501653:clu_24489_-	chr10:clu_24489_-	UP	PR,UP	SEC31B	ENSG00000075826.16	-0.2078789309011472	-0.84499468046482229	-0.90202814793129271	0.11702757797604225	0.54219837025160977	-0.46743706247887445	0.089926785268627712	-0.27765878677984834	-1.0731360211978751	-1.5906835088336801	-1.1243316057793566	-1.0621153555757126	-1.0968008491230554	-1.1535701861719934	-1.1336075112324295	0.35556658294205484	-0.83479215774235704	-0.81477913457022733	0.16558286785313456	0.68268446173531627	0.017298727289095685	-0.2858212340410376	0.10702219540051243	1.0244717359380813	0.76977862211949444	0.047239686529821912	-0.0053489626213840706	-0.93867812018416852	0.70922925000970405	1.8605883552178468	2.2973484029882867	0.74177037548536939	3.5102314605854046	0.0026968639937988404	-0.1195514904558094	0.32919988963731694	-0.09401684952274228	-0.26099021149969914	-1.5256163153566078	-0.55252647658881449	0.27649353933858595	0.017413551770342883	0.24370815225069092	0.47309923951360272	0.35028175076858892	-0.92117040378228987	-0.1879507083018199	0.28155629801892312	0.027546793105551408	2.4355231751492372	2
chr10:100500159:100502253:clu_24489_-	chr10:clu_24489_-	UP	PR,UP	SEC31B	ENSG00000075826.16	1.1644361242779344	-2.0374966556371574	-1.3881758475722605	1.5260335860173546	0.33516079410271915	-0.50049237740147889	1.0819675077466544	1.9444072984889822	-1.1642706423097973	-1.9293706964033004	-1.0905392544250965	-0.30780710192340383	-0.39842804809682958	-1.7141720009975778	-1.469452627040928	-0.45842073306609649	-1.0866601209132354	-1.2775960646895768	1.2495266963785558	0.29272806615187708	-0.068604310198558172	0.10911678838647659	0.29885015490236611	-0.34364747437651827	0.10041921145199023	0.82172830469334091	0.11190090208917627	-0.64099106473529355	0.62510610626886098	0.52442393767896334	0.46436397461315104	0.88844128098082387	1.1467213666054303	0.15403724565458418	0.45574319892034232	0.55765237430062398	0.44844340096765117	1.2030119802731685	-2.0275340960974626	-0.90596137410489508	0.26630481119428906	-0.39597745699627263	1.5382950864926248	1.1423118325001487	1.142931507502652	-0.78589412948195536	0.52875576032213578	-0.088536679988948	-0.22382891875112507	0.18103837624489572	2
chr10:100501710:100502253:clu_24489_-	chr10:clu_24489_-	UP	PR,UP	SEC31B	ENSG00000075826.16	-0.075374927563226266	-0.95342992121650605	-1.0564437083835305	-0.01534123924141793	0.23536197807051815	-0.51399290134076137	-0.036283011600794876	-0.51318659092600538	-0.5574224603625374	-1.6130976436831508	-0.96983850835178587	-1.0412877677665029	-1.0133358794753198	-1.1779124123945306	-1.2682646704041256	-0.041621472142255568	-0.41884031050012566	-0.88505233277667072	0.38947615181306705	0.45556567179790486	-0.60716273519888353	-0.34105341245056681	-0.44081911058713669	1.3353405289115368	0.58145525050227298	0.094549626324411315	0.89459666237691249	-0.78620243102934506	0.5707249223746973	1.8143376625078669	2.2004292296124586	1.1600528445495382	3.5217909733858139	0.36084595853996171	-0.28343691625474621	0.2104382609577013	0.074507551062493918	-0.13688235576887472	-1.186550515368755	-0.46970519350780421	0.56924184295797309	-0.0034551723011977641	0.0063674006075991451	0.4008624369991321	0.1936814536974148	-1.1271341429716271	-0.19931649039813495	-0.16516858461872991	0.4387108060108893	2.3892756055248809	2
chr10:100508048:100508460:clu_24491_-	chr10:clu_24491_-	UP	PR,UP	SEC31B	ENSG00000075826.16	-0.33466926006195874	0.96331068163371791	0.18427978072081366	-0.3416937403965285	-0.33425963241792578	-0.28016556835827416	-0.33531034791269315	-0.32868339031626381	-0.11901809863042298	0.43099029902468561	0.29063759474705642	4.5313558192135259	4.7117824274837758	0.346597476353044	0.061147436490995959	-0.20730876800848563	-0.23649621313683677	-0.34526791999608036	-0.34524446080308169	-0.31969836133467749	-0.32573095786961759	-0.30116039716901172	-0.32911777967132683	-0.33555186640570961	-0.31028511347921583	-0.34191000759362261	-0.34526785820576028	0.00056876271557123324	-0.31647402827093318	-0.3186684515294903	-0.32043413899848544	-0.33413590392161158	-0.34047366258456446	-0.33851796803940715	-0.33905300705508273	-0.32993682338471425	-0.33241777571627579	-0.32905230485721976	0.95270920002669768	-0.10461308241627813	-0.33412731390531109	-0.3452378765406493	-0.32667799348372056	-0.3259926764752486	-0.31323171684042656	-0.31928154816403048	-0.31945966174828661	-0.32133904982363726	-0.33300210546835468	-0.31441264741866104	5
chr10:100509102:100516095:clu_24492_-	chr10:clu_24492_-	UP	PR,UP	SEC31B	ENSG00000075826.16	1.0051877588102873	0.96443757637927674	-0.62255223489611367	1.7706331035050722	-0.17074106388737856	0.071072013468557016	0.56667269862986158	1.1930094576494981	-1.0088726795769352	-0.82711726562840893	-0.96719357526445593	0.16924675448134169	0.077902975880385639	-0.10172637043627002	-0.81947763046890809	-1.5195995805966815	-1.1507310417220089	3.8302396955604041	2.1872888736363718	0.3843851691136505	-0.39462722575616832	-0.56207798821531008	-0.19397922699435763	0.19657614912690596	-0.50192084029066975	-1.2499599633525482	-1.093285709813981	-0.36151808457370221	0.21547873325686223	0.073178346130649247	-0.53402934399868607	0.43499399007102879	0.21574840625709321	-0.64997045204879356	-0.70886687817756855	-0.57190277150986724	-0.2747101687433135	1.066133036188774	1.050239571361274	-0.87114103774159835	-0.65599992958388442	-0.26476916349577723	1.4431883962117364	0.63759316586640657	0.73285209943047891	0.81564644324613711	-0.99637631901107815	-0.57739232444539423	-0.79581820096256417	-0.65534734306963371	1
